0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:15 -0400] "GET /atm-api/users/jchen HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:24 -0400] "GET /atm-api/users/yuchen HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:24 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:35 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:41 -0400] "GET /atm-api/users/tianyu HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:46 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:47 -0400] "GET /atm-api/users/yutian HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:48 -0400] "GET /atm-ui/resources/images/transfer-arrows.png HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:48 -0400] "GET /atm-api/accounts/297630 HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:48 -0400] "GET /atm-api/accounts/385989 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:48 -0400] "GET /atm-ui/resources/images/penguin-white.png HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:48 -0400] "GET /atm-api/accounts/759242 HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:57 -0400] "POST /atm-api/users/yutian/accounts HTTP/1.1" 201 67
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:57 -0400] "GET /atm-api/accounts/297630 HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:57 -0400] "GET /atm-api/accounts/385989 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:57 -0400] "GET /atm-api/accounts/759242 HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:57 -0400] "GET /atm-ui/resources/images/penguin-blue.png HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:57 -0400] "GET /atm-api/accounts/415062 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:51:57 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:08 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:13 -0400] "GET /atm-ui/resources/images/penguin-blue.png HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:16 -0400] "GET /atm-api/users/bigguy HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:17 -0400] "GET /atm-ui/resources/images/transfer-arrows.png HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:17 -0400] "GET /atm-api/accounts/444555 HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:17 -0400] "GET /atm-api/accounts/010101 HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:17 -0400] "GET /atm-api/accounts/321321 HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:17 -0400] "GET /atm-ui/resources/images/penguin-white.png HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:17 -0400] "GET /atm-api/accounts/832685 HTTP/1.1" 200 123
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:17 -0400] "GET /atm-api/accounts/436421 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:19 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:30 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:41 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:52:52 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:53:03 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:53:08 -0400] "GET /atm-ui/resources/images/penguin-blue.png HTTP/1.1" 200 688
